generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
362,20,240996.861645829,342317.5549706993,38191.06842241089,133429.78814197046
363,20,240996.861645829,345663.8436141117,38191.06842241089,132486.68899736495
364,20,240996.861645829,343503.83166118525,38191.06842241089,138618.4272504335
365,20,240996.861645829,343503.83166118525,38191.06842241089,138618.42725043354
366,20,240996.861645829,333238.6782883195,38191.06842241089,146399.36506918244
367,20,240996.861645829,342654.1198129769,38191.06842241089,135949.54450578796
368,20,240996.861645829,342654.1198129769,38191.06842241089,135949.54450578793
369,20,240996.861645829,344923.7177820838,38191.06842241089,140016.92556301667
370,20,240996.861645829,343735.4087096025,38191.06842241089,142937.82966297347
371,20,240996.861645829,349608.17538490513,38191.06842241089,134432.98953870573
372,20,240996.861645829,340092.5235888002,38191.06842241089,142347.747764497
373,20,240996.861645829,353801.77330675686,38191.06842241089,129058.36202155896
374,20,240996.861645829,350206.70322261396,38191.06842241089,130038.76006012391
375,20,240996.861645829,339738.37927540555,38191.06842241089,138852.50381751778
376,20,240996.861645829,337558.72752096615,38191.06842241089,142462.52303153696
377,20,240996.861645829,337343.1788886107,38191.06842241089,142946.12709724286
378,20,240996.861645829,347040.7340415867,38191.06842241089,132485.76264865528
379,20,240996.861645829,347011.4682751474,38191.06842241089,132485.76264865525
380,20,240996.861645829,346885.38018270204,38191.06842241089,132567.82051362685
381,20,240996.861645829,346885.38018270204,38191.06842241089,132567.82051362685
382,20,240996.861645829,346885.38018270204,38191.06842241089,132567.82051362685
383,20,240996.861645829,346460.3732383944,38191.06842241089,132568.56986056815
384,20,240996.861645829,349430.48128228984,38191.06842241089,131450.29953716235
385,20,240996.861645829,339650.41114487674,38191.06842241089,139961.72330470642
386,20,240996.861645829,340519.2970407108,38191.06842241089,139729.78201303622
387,20,240996.861645829,340672.96962531266,38191.06842241089,139382.16560412612
388,20,240996.861645829,335872.67541316483,38191.06842241089,144821.0894461504
389,20,240996.861645829,346140.3610985106,38191.06842241089,135721.794287251
390,20,240996.861645829,342445.0179235508,38191.06842241089,136944.84633866855
